,embalaje,largo,alto,ancho,peso,procedencia,manipulacion,temperatura,protocolo
0,B,75,76,78,88920.0,D,normal,normal,Protocolo_2
1,C,10,6,14,168.0,A,normal,normal,Protocolo_1
2,C,10,11,10,220.0,A,normal,normal,Protocolo_1
3,C,10,5,15,150.0,B,fragil,normal,Protocolo_1
4,C,10,9,10,180.0,C,fragil,normal,Protocolo_1
5,C,10,5,11,110.0,C,fragil,normal,Protocolo_1
6,A,50,48,51,24480.0,B,normal,normal,Protocolo_2
7,C,10,12,12,288.0,C,normal,refrigerado,Protocolo_1
8,A,50,45,50,22500.0,C,normal,refrigerado,Protocolo_1
9,B,75,78,79,92430.0,A,normal,normal,Protocolo_2
10,C,10,10,12,240.0,D,normal,normal,Protocolo_1
11,A,50,51,47,23970.0,C,fragil,refrigerado,Protocolo_1
12,B,75,75,72,81000.0,A,normal,refrigerado,Protocolo_1
13,B,75,70,75,78750.0,D,normal,normal,Protocolo_2
14,B,75,77,72,83160.0,B,fragil,normal,Protocolo_1
15,C,10,13,15,390.0,B,normal,refrigerado,Protocolo_1
16,A,50,48,51,24480.0,A,fragil,normal,Protocolo_1
17,C,10,8,12,192.0,A,fragil,refrigerado,Protocolo_1
18,A,50,52,45,23400.0,C,fragil,normal,Protocolo_1
19,C,10,15,7,210.0,C,normal,normal,Protocolo_1
20,B,75,73,71,77745.0,D,normal,normal,Protocolo_2
21,C,10,13,10,260.0,C,normal,normal,Protocolo_1
22,C,10,14,13,364.0,B,normal,refrigerado,Protocolo_1
23,C,10,9,15,270.0,B,normal,normal,Protocolo_1
24,C,10,5,15,150.0,A,normal,refrigerado,Protocolo_1
25,B,75,72,75,81000.0,D,normal,normal,Protocolo_2
26,B,75,76,80,91200.0,A,fragil,normal,Protocolo_1
27,B,75,74,77,85470.0,C,normal,normal,Protocolo_2
28,C,10,6,12,144.0,B,normal,normal,Protocolo_1
29,A,50,50,53,26500.0,D,normal,normal,Protocolo_2
30,B,75,78,73,85410.0,C,normal,normal,Protocolo_2
31,A,50,52,45,23400.0,A,normal,normal,Protocolo_2
32,C,10,5,5,50.0,A,normal,normal,Protocolo_1
33,B,75,79,78,92430.0,D,normal,refrigerado,Protocolo_1
34,C,10,11,13,286.0,C,normal,normal,Protocolo_1
35,C,10,6,5,60.0,C,fragil,normal,Protocolo_1
36,A,50,46,49,22540.0,C,normal,normal,Protocolo_2
37,A,50,49,48,23520.0,A,normal,normal,Protocolo_2
38,C,10,7,7,98.0,B,fragil,normal,Protocolo_1
39,C,10,14,15,420.0,C,normal,normal,Protocolo_1
40,B,75,79,72,85320.0,C,fragil,refrigerado,Protocolo_1
41,A,50,54,49,26460.0,D,fragil,normal,Protocolo_1
42,B,75,70,71,74550.0,B,normal,refrigerado,Protocolo_1
43,C,10,15,9,270.0,A,normal,refrigerado,Protocolo_1
44,A,50,52,45,23400.0,D,normal,normal,Protocolo_2
45,A,50,48,48,23040.0,B,normal,normal,Protocolo_2
46,C,10,12,13,312.0,D,fragil,normal,Protocolo_1
47,B,75,70,77,80850.0,B,normal,normal,Protocolo_2
48,A,50,47,49,23030.0,D,fragil,normal,Protocolo_1
49,B,75,74,70,77700.0,D,normal,normal,Protocolo_2
50,A,50,52,53,27560.0,A,fragil,refrigerado,Protocolo_1
51,C,10,10,5,100.0,A,fragil,normal,Protocolo_1
52,B,75,76,73,83220.0,D,fragil,normal,Protocolo_1
53,C,10,12,9,216.0,C,fragil,normal,Protocolo_1
54,C,10,7,14,196.0,D,normal,refrigerado,Protocolo_1
55,B,75,72,71,76680.0,A,normal,normal,Protocolo_2
56,A,50,50,53,26500.0,A,fragil,normal,Protocolo_1
57,A,50,45,48,21600.0,D,normal,refrigerado,Protocolo_1
58,B,75,78,76,88920.0,D,fragil,normal,Protocolo_1
59,B,75,75,76,85500.0,D,fragil,normal,Protocolo_1
60,B,75,80,78,93600.0,D,fragil,normal,Protocolo_1
61,A,50,51,49,24990.0,A,normal,refrigerado,Protocolo_1
62,C,10,15,9,270.0,B,normal,normal,Protocolo_1
63,B,75,72,75,81000.0,B,normal,normal,Protocolo_2
64,C,10,14,13,364.0,A,fragil,normal,Protocolo_1
65,B,75,70,73,76650.0,A,fragil,refrigerado,Protocolo_1
66,B,75,75,75,84375.0,D,fragil,refrigerado,Protocolo_1
67,B,75,75,75,84375.0,A,normal,normal,Protocolo_2
68,C,10,5,12,120.0,A,fragil,refrigerado,Protocolo_1
69,C,10,9,10,180.0,C,normal,refrigerado,Protocolo_1
70,C,10,10,5,100.0,B,fragil,normal,Protocolo_1
71,C,10,11,7,154.0,A,fragil,normal,Protocolo_1
72,A,50,52,52,27040.0,B,normal,normal,Protocolo_2
73,B,75,76,71,80940.0,C,fragil,normal,Protocolo_1
74,A,50,53,53,28090.0,D,normal,refrigerado,Protocolo_1
75,C,10,6,5,60.0,A,fragil,normal,Protocolo_1
76,C,10,8,6,96.0,B,normal,normal,Protocolo_1
